sic4,description,activity
9104,Botanical and zoological gardens and nature reserve activities,Activities
9200,Gambling and betting activities,Activities
9311,Operation of sports facilities,Activities
9312,Activities of sport clubs,Activities
9313,Fitness facilities,Activities
9319,Other sports activities,Activities
9321,Activities of amusement parks and theme parks,Activities
9329,Other amusement and recreation activities,Activities
9411,Activities of business and employers membership organisations,Activities
9412,Activities of professional membership organisations,Activities
9420,Activities of trade unions,Activities
9491,Activities of religious organisations,Activities
9492,Activities of political organisations,Activities
9499,Activities of other membership organisations n.e.c.,Activities
9511,Repair of computers and peripheral equipment,Repair of
9512,Repair of communication equipment,Repair of
9521,Repair of consumer electronics,Repair of
9522,Repair of household appliances and home and garden equipment,Repair of
9523,Repair of footwear and leather goods,Repair of
9524,Repair of furniture and home furnishings,Repair of
9525,"Repair of watches, clocks and jewellery",Repair of
9529,Repair of other personal and household goods,Repair of
9601,Washing and (dry-)cleaning of textile and fur products,Activities
9602,Hairdressing and other beauty treatment,Activities
9603,Funeral and related activities,Activities
9604,Physical well-being activities,Activities
9609,Other personal service activities n.e.c.,Service activities
9700,Activities of households as employers of domestic personnel,Activities
9810,Undifferentiated goods-producing activities of private households for own use,Activities
9820,Undifferentiated service-producing activities of private households for own use,Activities
9900,Activities of extraterritorial organisations and bodies,Activities
